nome,preco
Vinho Italiano CONTE DI  CAMPIANO PRIMITIVO  DI MANDURIA 750ml,"69,90"
Vinho Italiano CONTE DI CAMPIANO APPASSIMENTO 750ml,"69,80"
Vinho Italiano  CENTOVENTI SPECIAL  EDITION 750ml,"62,50"
Vinho Português TERRAS DE FELGUEIRAS  Alvarinho 750ml,"52,90"
Vinho Italiano GOVERNO TOSCANO 750ml,"49,80"
Vinho Português TAPADA DO BARÃO Seleção 750ml,"49,50"
Vinho Italiano VALPOLICELLA DOC Amerigo Vespucci 750ml,"45,80"
Vinho Argentino TRIVENTO  Reserve 750ml,"42,80"
Vinho Chileno CASILLERO DEL DIABLO  Red Blend 750ml,"39,90"
Vinho Chileno MONTE BLANCO  Gran Reserva 750ml,"39,80"
Vinho Português ADEGA DE VILA REAL  750ml,"39,50"
Vinho Português TERRAS DE FELGUEIRAS  Loureiro 750ml,"33,90"
Vinho Português TAPADA DOS  GANHÕES 750ml,"32,90"
Vinho Português GRANLÉVE  750ml,"29,90"
Vinho Português CASAL MOR DÃO 750ml,"29,80"
Vinho Português CASAL MOR  BAIRRADA 750ml,"28,50"
Vinho Português FELGUEIRAS  750ml,"25,80"
Vinho Italiano IL PRINCIPE 750ml,"25,90"
Vinho Argentino ALUNCO  750ml,"23,90"
Vinho Argentino  BODEGAS  RESERVADAS 750ml,"22,90"
Vinho SALTON Lunae ou Classic 750ml,"19,90"
Espumante Italiano MANFREDI DEL CENTENARIO  CUVÉE ou ROSÉ  750ml,"38,90"
Prosecco SALTON Brut  750ml,"29,90"
"Espumante RIO SOL  Brut, Brut Rosé ou Moscatel 750ml","26,50"
"Espumante SALTON Brut, Brut Rosé,  Demi-Sec ou Moscatel 750ml","31,50"
Vodka SMIRNOFF N.º 21 998ml,"29,90"
Vodka SMIRNOFF Infusions 998ml,"39,90"
Café em Cápsulas  3 CORAÇÕES Especiais Vários Sabores c/ 10 Unids.,"19,98"
Cápsulas de Café  MELITTA Vários  Sabores c/ 10 Unids.,"22,48"
Cápsulas de Café  DOLCE GUSTO Vários  Sabores c/ 16 Unids.,"26,64"
Adoçante Líquido ZERO-CAL  Sucralose c/ 2 de 100ml 50% DE DESCONTO NA 2ª UNIDADE,"13,98"
Maionese HEINZ Receitas 405g,"10,50"
Sopa MAGGI Vários Sabores 61g / 68g / 71g,"4,49"
Leite em Pó Instantâneo  Desnatado MOLICO Lata 280g 10% GRÁTIS,"11,65"
Farinha Láctea ou Neston 3  Cereais  NESTLÉ Sachê  LEVE 210g PAGUE 180g,"3,45"
Barra de Proteína SUPINO Vários Sabores 90g / 92g,"8,76"
Anéis de Cebola BEM BRASIL 450g,"9,98"
Coxinhas SUCRÉ Vários Sabores 375g,"19,80"
Gelatina Diet ou Funcional DR. OETKER Vários Sabores 12g,"2,85"
Mini Cookies Integrais Orgânicos  MÃE TERRA Vários Sabores 120g,"6,99"
Milho-Verde Importado  BONDUELLE Lata 285g,"18,90"
Cerveja CACILDIS Lata 350ml,"3,49"
Limpador MR. MÚSCULO Vários Tipos  Sachê 400ml,"5,97"
Limpador Perfumado CIF Vários Tipos 900ml,"5,98"
Lava-Roupas Líquido OLA Vários Tipos 1 L,"15,90"
Salgadinho Orgânico ZOORETA Vários Sabores 45g,"3,99"
Creme Dental SENSODYNE Vários Tipos 90g,"11,80"
Sabonete Líquido PROTEX Vários Tipos 250ml,"10,47"
Sabonete Líquido DOVE Vários Tipos Refil 200ml,"7,98"
Sabonete REXONA Vários Tipos 84g,"1,70"
Sabonete Líquido JOHNSON’S BABY Vários Tipos 200ml,"11,98"
Desodorante Aerossol BÍ-O Vários Tipos 150ml,"13,98"
Loção Hidratante NEUTROGENA Vários Tipos 400ml,"29,90"
Shampoo HEAD & SHOULDERS Vários Tipos 200ml,"14,97"
Creme p/ Pentear SEDA Vários Tipos 295ml / 300ml,"8,98"
Ampola de Tratamento PANTENE Vários Tipos c/ 3 de 15ml,"10,47"
Tintura L’ORÉAL IMÉDIA EXCELLENCE Creme Vários Tipos,"24,95"
Toalhas Umedecidas PAMPERS  Vários Tipos c/ 48 Unids.,"9,98"
Fraldas PAMPERS  Confort Sec MEGA,"44,97"
Ração WHISKAS ou PEDIGREE Vários Tipos Sachê 85g / 100g,"2,25"
Desinfetante OMO Vários Tipos 1 L,"7,98"
Iogurte Grego ou Pedaços PENSE ZERO Vários Sabores 100g,"1,98"
Bebida Láctea PENSE ZERO Vários Sabores 170g,"2,29"
Iogurte Grego ou Pedaços PENSE ZERO Morango Potão 500g,"7,99"
Leite Fermentado ELEGÊ Bob Esponja Vários Sabores TP 480g,"5,19"
Sobremesa BATAVO Flan Leve Mais Pague Menos 400g,"5,99"
Sobremesa BATAVO Pudim 200g,"5,99"
"Iogurte PENSE ZERO Batido ou Morango 1,15 kg","12,75"
Limonada Orgânica LIMÃO & CIA ou Chá-Mate ou Chá-Verde Orgânico TEA+ Vários Sabores 1 L,"12,90"
Água Tônica Orgânica WEWI Vários Sabores 255ml,"5,95"
Granola MÃE TERRA Vários Sabores 800g,"22,90"
Massa de Arroz Integral URBANO  Zero Glúten Vários Tipos 500g,"4,79"
Massa de Arroz URBANO Zero Glúten Vários Tipos 500g,"2,99"
Vinagre de Maçã s/ Glúten NATURAL LIFE 500ml,"4,99"
Açúcar Mascavo MONTAN 500g,"5,28"
Aveia MONTAN  Farelo 500g,"6,95"
Isotônico Orgânico JUNGLE Vários Sabores 500ml,"5,99"
Geleia de Frutas Diet QUEENSBERRY ou  WELLNESS 100%  Vários Sabores 250g / 280g,"14,98"
Açúcar Orgânico UNIÃO 1 kg,"4,99"
Biscoito de Arroz Integral CAMIL 150g,"4,95"
Barra de Cereais RITTER Vários Sabores 60g / 75g,"3,15"
Óleo de Coco s/ Sabor QUALICOCO 500ml,"28,75"
Biscoito ARUBA s/ Glúten Vários Sabores 100g,"4,58"
Chips de Arroz Integral NATURAL LIFE s/ Glúten Vários Sabores 70g,"3,39"
Bombom FLORMEL Zero  Vários Sabores Pouch 75g,"13,90"
Barra de Frutas SUPINO Zero Vários Sabores 72g,"4,28"
Iscas de Peixe Veg. ou Kibe Veg. SEARA Incrível 300g,"13,98"
Linguiça Congelada AURORA Vários Sabores 800g,"17,90"
Linguiça de Frango  Congelada C. VALE Vários Sabores 1 kg,"13,95"
Filé de Peito de Frango Desfiado RICA 400g,"9,98"
Filé de Peito de Frango Desfiado / Defumado RICA 300g,"7,98"
Filezinho Suíno Congelado RAINHA,"16,90"
Frango Caipira SEARA Nhô Bento,"14,50"
Moela de Frango Congelada SADIA Bandeja 1 kg,"13,90"
Coração de Frango Congelado SADIA Bandeja 1 kg,"25,90"
Filé de Frango Congelado C. VALE Bandeja 1 kg,"16,90"
Rabada Bovina Congelada a Granel ,"27,50"
Filé de Congro Rosa Congelado  FRESCATTO Pacote 500g,"39,95"
Lombo de Salmão Congelado FRESCATTO 700g,"99,80"
Camarão Descascado Cozido Congelado BOMAR 71/90 Pacote 400g ,"29,50"
Filé de Cação Congelado  FRESCATTO Pacote 500g,"13,50"
Sardinha Portuguesa Congelada NIGEL Pacote 1 kg,"26,90"
Camarão Descascado Cozido Congelado COSTA SUL 70/110 Pacote 400g ,"28,90"
Ingredientes Congelados p/ Paella COSTA SUL Pacote 400g,"22,90"
Filé de Merluza Congelado  COSTA SUL Pacote 500g,"16,98"
Sardinha Espalmada Congelada COSTA SUL Pacote 800g,"13,98"
Cação Congelado em Postas COSTA SUL Pacote 800g,"17,80"
Iogurte Líquido MOLICO Triplo Zero Vários Sabores 850g,"9,88"
Leite Fermentado CHAMYTO 450g,"4,89"
Iogurte c/ Polpa de Frutas NINHO Bandeja 540g,"5,85"
